abak,morning,nauukol sa umaga
"abalu, mabiasa",learn,tuto
"abisuan, warningan",warn,bala
abito,vestment,"bihisan, damit"
abl,"answer, response","imik, umimik"
ablas,revenge,higanti
ablasador,bolster,bulsa
ablasanan,take revenge on,
"abli, apiabli",proceeds,tumuloy
abluk,temptation,tukso
absik,sweet potato rot,
absikan,rotten,bugok
abtyawan,saw,lagari
acmulan,throat,lalamunan
"adiskubri, atuklasan",discover,tuklas
adornuan,aborn,silang
adta,sap of tree or plant,
"aduan, yawad",implore,"mamanhik, lumuhog, sumamo"
aflwxw,later,mamaya
agaganaka,miss,binibini
aganaka,remember,alaala
aggaganaka daka,i miss you,
"agkas, pangayagkas",pronunciation,"bigkas, badya"
agkat,ask someone to come,
agkatan,urge,"pumilit, madaliin, papagmadaliin, ibuyo, udyukan"
agli,wait,antay
agnan,at the same time,
agpa,"armspan, raise the arms on the side",dipa
agpang,according to,
agrikultura,agriculture,pagsasaka
agta,sap,katas
agtalan,pick,piko
aguanta,hold back oneself,
aguantan,hold,yakap
"aguantan, yawat",restrain,"paghihigpit, pagpigil, pagbabawa"
agyap,cold sore,
agyu,"able to do, can","kaya, lata"
"agyu, akarapat, chans",chance,palad
aili,laughter,tawa
akalingwan,forget,limot
akbung,explosion,sabog
akdutan,pinch,kurot
"akiang, akiang mang, maki, maski na",although,"bagaman, bagama't, bagamat"
aklung,fold the legs in,
akmul,swallow,lunok
akmulan,throat,lalamunan
akua,get,matanggap
"ala - as in ""ala yu"" (he is abent)",absent,pumalya
alakak,snore,hilik
alampusan,overcome,"lunod, lunurin"
alanangga,eternity,walang hanggan
alangala,back of the throat,
alapap,atmosphere,atmosphera
alapap,"cloud, heaveans, sky, the sky",alapaap
"alata, mayasinta",conspicuous,"magiting, bunyi, litaw, tangi, bantog"
alauli,whirlpool,ipu-ipo
albe,watch,orasan
alben,watching,nanonood
albug,flood,dilubyo
albugan,west,habagat
"albulario, arbulario (faith healer, herd medicine man)",quack,humuning parang pato o itik
aldaba,prop for the window,
aldo-aldo,"daily, everyday",araw-araw
aldukan,absorb,"humitit, humigop, sumipsip"
alemania,germany,aleman
alerto,alert,tunog
alibuga,prodigal,alibugha
"alila, ipus",maid,maita luchi
alimbawa,"example, sample","halimbawa, uliran, mwestra"
alimbawa,supposing,"maghinala, magsapantaha, ipagpalagay"
alipatpat,firefly,alitaptap
alisus,whirlwind,ipu-ipo
aliwa,another,"iba, isa pa, kaiba"
aliwa,other,kabila
aliwa,distinct,"kaiba, iba"
"aliwa, makayaliwa",different,iba
almuadun,cushion,almuhadon
alpa,cook on top of the rice,
alti,lightning,kidlat
alti,lightning bolt,
aluagi,carpenter,"karpentero, karpentera"
