abak,morning,
"abalu, mabiasa",learn,
"abisuan, warningan",warn,
abito,vestment,
abl,"answer, response",
ablas,revenge,
ablasador,bolster,
ablasanan,take revenge on,
"abli, apiabli",proceeds,
abluk,temptation,
absik,sweet potato rot,
absikan,rotten,
abtyawan,saw,
acmulan,throat,
"adiskubri, atuklasan",discover,
adornuan,aborn,
adta,sap of tree or plant,
"aduan, yawad",implore,
aflwxw,later,
agaganaka,miss,
aganaka,remember,
aggaganaka daka,i miss you,
"agkas, pangayagkas",pronunciation,
agkat,ask someone to come,
agkatan,urge,
agli,wait,
agnan,at the same time,
agpa,"armspan, raise the arms on the side",
agpang,according to,
agrikultura,agriculture,
agta,sap,
agtalan,pick,
aguanta,hold back oneself,
aguantan,hold,
"aguantan, yawat",restrain,
agyap,cold sore,
agyu,"able to do, can",
agyu,can,
"agyu, akarapat, chans",chance,
aili,laughter,
akalingwan,forget,
akawul daka,akawul,
akbung,explosion,
akdutan,pinch,
"akiang, akiang mang, maki, maski na",although,
aklung,fold the legs in,
akmul,swallow,
akmulan,throat,
akua,get,
"ala - as in ""ala yu"" (he is abent)",absent,
alakak,snore,
alampusan,overcome,
alanangga,eternity,
alangala,back of the throat,
alapap,atmosphere,
alapap,"cloud, heaveans, sky, the sky",
"alata, mayasinta",conspicuous,
alauli,whirlpool,
albe,watch,
alben,watching,
albug,flood,
albugan,west,
"albulario, arbulario (faith healer, herd medicine man)",quack,
aldaba,prop for the window,
aldo sueldo,payday,
aldo-aldo,"daily, everyday",
aldukan,absorb,
alemania,germany,
alerto,alert,
alibuga,prodigal,
"alila, ipus",maid,
alimbawa,"example, sample",
alimbawa,supposing,
alimu,alimu,
alimum,petrichor,
alipatpat,firefly,
alisus,whirlwind,
aliwa,another,
aliwa,other,
aliwa,distinct,
"aliwa, makayaliwa",different,
almuadun,cushion,
alpa,cook on top of the rice,
alti,lightning,
alti,lightning bolt,
aluagi,carpenter,
alubebe,fermented salted fish sauce,
"aluminyum, aluminium",aluminum,
aluwagi,carpenter,
amanwan,mean (to signify),
ambukan,root,
ambul,mix soup with the rice,
amfiby,to you,
amlat,historical record,
ampil,clean/wash the dishes,
ampit,go inside the house,
amuk,mosquito,
amusal,breakfast,
amuyam,sponge,
"amuyutan, konbincian",persuade,
anam,six,
anapaya?,what did he/she say?,
andarul,child's walker,
angkamin,"claim as one's own, covet",
angu,"extract, take",
anibersario,anniversary,
anitpatiko,antipathetic,
antabe,close by,
"antayu, ante",where,
ante,where is,
anti,like,
anti,"compared to, like unto",
anticipo,down payment,
antimong,antimong,
anto,where are,
anyus,years (years/old),
ap,visit,
apag,to set the table,
aparadul,wooden cabinet,
apekto,effect,
apektuan,affect,
"apialis-alis, apidusug-dusug",movable,
apibabaluktut,flexible,
apibata,withstand,
apibata,stand,
"apilido, pilidu",surname,
"apiunab, apibalak",realize,
apse,"say, state",
apuntador,prompter,
arana,serenade,
aranguilla,syringe,
areplano,plane,
areplano,airplane,
armi,army,
artipicial,artifical,
