akawul daka,akawul,
aldo sueldo,payday,
alimu,alimu,
alimum,petrichor,
angkamin,"b""claim as one's own, covet""",
antimong,antimong,
artipicial,artifical,
atsu,atsu,
bagkat,nougat,
bakulau,chimpanzee,
baluarti,bailiwick,
bangi,bangi,
barandillas,ballustrade,
barandillas,guardrail,
bengatibo,vengeful,
bengatibo,bengati,
beranda,veranda,
beutaiful,beutaiful,
bublag,brobtigas,
bukilia,mouthpiece,
catalago,catalog,
ditsuanan verb: ditsu,jujitsu,
dramaturgo,playwright,
gabak-gabak,tattered,"gulanít, gulá-gulanít, punít-punít, sirá-sirâ"
Kapampangan, English,cdsadsadsa
abak,morning,nauukol sa umaga
gabak,torn,pingas
gabak-gabak,tattered,"gulanít, gulá-gulanít, punít-punít, sirá-sirâ"
gabak,torn,pingas
gabak-gabak,tattered,
gabun,"land, soil, ground",
gabak-gabak,tattered,"gulanít, gulá-gulanít, punít-punít, sirá-sirâ"
gabak-gabak,tattered,"gulanít, gulá-gulanít, punít-punít, sirá-sirâ"
gabak,torn,
gabak-gabak,tattered,
gabun,"land, soil, ground",
gakgak,cry,
galapak maili,guffaw,
galaukan,pick,
galiguit,gnash,
gabak,torn,
gabak-gabak,tattered,
gakgak,cry,
galiguit,gnash,
gabak-gabak,tattered,"gulanít, gulá-gulanít, punít-punít, sirá-sirâ"
