Kapampangan,English
kampi,ally
kalagu mo,maganda ka
luga,wax
kanwari,pretend
bat la dina,
plaka,"marker, phonograph record"
"menus, sira, buguk, tarantadu",stupid
lalam,downstairs
kaluguran,friend
keni,here
banga,earthen water jug
kulayu,owl
aya1hj,jqaxwdsde
dalangita,an orange
tumawad,dicker
kaba,length
alpa,cook on top of the rice
sale ning legwan,
talasulat,secretary
takdiyapo,taksiyapo
kamiseta,undershirt
mamyasamas,properly
gusut,rumpled
uwis,snipe
ortelano,farmer
pasada,"operate a bus, take on passengers"
mangaslak,dilated
"supiciente, magkasia",sufficient
brillante,diamond
mabasa-basa,damp
tabaku,tobacco
technological efficiency,aspili
talasuyu,servant
kasa,cock the gun
patalupit,bottle cap metal
kobrador,collector
wang,beetle
mustasa,mustard
"papal de lisa, or, - de liha",sandpaper
goodbye,goodbye
makananu,kamusta
daba,a large wide-mouth earthen jar
kwalta,money
takde,sleeve
bakuna,vaccination
yuyu,swing
library,twisted
batu,gallstone
kapirasu,piece
kuartu,room in the house
grado,grade
salupil,bib
santo,saint
pamanintun,quest
masias,stiff
silid,room
kutu,lice
pekamasanting,best
butit,calf
masalpak,whats
kambyu,gear
kilikitan,tickle
"megaral, edukado",educated
kashif,kashif
kashif,kashif
pakuan,watermelon
teoria,theory
itu,catfish
makakiling,inclined
"lasa, kasakitan",suffering
kuku,"cough, fingernail, toenail, nail"
sqzld,rybsstrdum
tabun,dam
pamaniwala,belief
paniwalan,credible
kaun,"box, case"
agam-agam,reservation
amuk,mosquito
biglan,shock
baka,cow
pamantayan,standard
bukilia,mouthpiece
libreta,bankbook
"lampasan, labisan, lumabis, lumampas, sumobra, mipalalu, lagpas",exceed
mitakid,stub
kaptas a dutung,fagot
telegrama,telegram
dikut,weeds
maluslus,collapse
sanga,branch
kakewan,forest
bante,guard
kulut,curly hair
"guardia, guardian, banten",guard
"balbal, lasi",shattered
akling,"echo, reverberation"
"lumbug, palbug",submerge
mantsa,stain
matulog,slleping
kantidad,volume
"malamlam, makupad, mabagal, makute, magurung",laggard
"baintau, soltero",bachelor
kris,a sword with wavy blade
ot,why
decision,decision
apinini,apinini
malpa,clumsy
kaligtasan,safety
gawuk,to get something by using (dipping) the hand
pecamatas,zenith
miras,arrive
ngamupaya,what
"aku mismu, sarili ku",myself
sumio,clamor
duling,cross-eyed
"milang, bilangan",count
pamananam,agriculture
morus,"unchristian, barbarian, a person without manners"
takut,fear
"paniaplit, saplitan",goad
kilalanan,recognize
matumal,
zjxbfg,nyqwkyvgsfnmqliuid
mapanganib,dangerous
"sajuli, samantalang",while
enane,not
"maniud, manyud",drift
pitaka,purse
"magmaliksi, mamaligua",hurry
buktutan,impregnate
hangang penyabi,hangang penyabi
translate,
luyus,betel nut
baiwan,new
manalbe,watch
maindredus,snoopy
disku,a mishap
depektado,defective
"sake, saken",ride
kasayahan,enjoyment
pusit,octupos
kulam,"curse, hex, put a hex or curse"
kasamak,tenant farmer
buysitan,tease
lingapan,serve
palad,"destiny, palm"
nabengi,last night
"dumurut, padurut",rotate
bastardu,bastard
takpan,cover
bulig,mudfish
karokan,evil
malalaso kuran,melting pot
"mipulung, magmiting",meet
santo,icon
kuneu,rabbit
pabungan,
tambak,"pile up, stock"
banglu,sweet smell
bag,bag
tela,fabric
superintendente,superintendent
characteristic,
kulkulan,"dig, dirg a hole"
aggaganaka daka,i miss you
sakit,ache
maluslus,collapse
mepaburin,
taklang animal,manure
damauana,"a big glass container, demijohn"
bintul,a trap to catch crabs
pamananam,agriculture
